PID,PCS,CTS,COLID,DESCRIPTION,INTENSITY,OVERTONE,OVERTONE1,COLOR,CLARITY,SHAPE,FLU INT,FLU COLOR,FLU,POLISH,SYMMETRY,L,W,D,TD,LAB,REPORT NO,
DA-69V        ,1,1.01,,FANCY YELLOW,FANCY,,,YELLOW,SI2,OVAL,FAINT,,F,G,G,8.11,4.92,3.33,67.68%,GIA,5176077640,
DA-69U        ,1,1.02,P295,FANCY YELLOW,FANCY,,,YELLOW,SI1,OVAL,FAINT,,F,G,G,7.39,5.26,3.41,64.83%,GIA,2176075700,
DA-69T        ,1,2.02,,FANCY YELLOW,FANCY,,,YELLOW,SI1,CUSHION,NONE,,N,G,EX,7.82,6.46,4.44,68.73%,GIA,2176167161,
DA-69S        ,1,1.01,,FANCY YELLOW,FANCY,,,YELLOW,SI1,OVAL,FAINT,,F,G,G,7.57,4.85,3.5,72.16%,GIA,2176108437,
DA-69R        ,1,3.26,,FANCY YELLOW,FANCY,,,YELLOW,SI1,MARQUISE,NONE,,N,G,VG,13.24,7.33,4.9,66.85%,GIA,2176043413,
DA-69Q        ,1,0.70,C256,FANCY YELLOW,FANCY,,,YELLOW,SI1,CUSHION,MEDIUM,BLUE,MB,G,G,4.95,4.6,3.21,69.78%,GIA,2176149838,
DA-69P        ,1,0.71,C256,FANCY YELLOW,FANCY,,,YELLOW,VS1,CUSHION,NONE,,N,G,VG,4.99,4.51,3.27,72.51%,GIA,5176151328,
DA-69O        ,1,0.78,C256,FANCY YELLOW,FANCY,,,YELLOW,VS2,PEAR,FAINT,,F,VG,G,6.31,4.9,3.35,68.37%,GIA,1179149702,
DA-69N        ,1,0.70,C256,FANCY YELLOW,FANCY,,,YELLOW,VS2,CUSHION,FAINT,,F,G,G,5.43,4.42,2.84,64.25%,GIA,2176151347,
DA-69K        ,1,0.76,C256,FANCY YELLOW,FANCY,,,YELLOW,VS1,RADIANT,FAINT,,F,G,G,6.37,3.98,3.04,76.38%,GIA,2176094733,
DA-69J        ,1,0.80,C256,FANCY YELLOW,FANCY,,,YELLOW,VVS1,OVAL,MEDIUM,BLUE,MB,VG,VG,6.54,4.85,3.11,64.12%,GIA,2176094665,
DA-69H        ,1,0.76,C256,FANCY YELLOW,FANCY,,,YELLOW,VVS1,CUSHION,MEDIUM,BLUE,MB,VG,VG,5,4.86,3.42,70.37%,GIA,5176124078,
DA-69G        ,1,0.70,C256,FANCY YELLOW,FANCY,,,YELLOW,VS2,PEAR,FAINT,,F,VG,G,5.85,4.82,3.33,69.09%,GIA,1179094034,
DA-69F        ,1,0.77,C256,FANCY YELLOW,FANCY,,,YELLOW,SI1,PEAR,MEDIUM,BLUE,MB,VG,G,6.5,4.72,3.42,72.46%,GIA,5176151501,
DA-69D        ,1,0.70,C256,FANCY YELLOW,FANCY,,,YELLOW,VVS1,CUSHION,FAINT,,F,VG,G,4.77,4.61,3.3,71.58%,GIA,5176078714,
DA-69B        ,1,0.81,C256,FANCY YELLOW,FANCY,,,YELLOW,SI1,CUSHION,FAINT,,F,G,G,4.96,4.91,3.41,69.45%,GIA,1179108602,
DA-69AR       ,1,3.02,,LIGHT GREEN-YELLOW,LIGHT,,,GREEN-YELLOW,SI1,MARQUISE,NONE,,N,EX,VG,14.12,7.43,4.86,65.41%,GIA,1179009101,
DA-69AP       ,1,5.01,,FANCY LIGHT GREENISH YELLOW,FANCY LIGHT,GREENISH,,YELLOW,SI1,CUSHION,NONE,,N,G,G,9.77,9.13,5.87,64.29%,GIA,5166996073,
DA-69AM       ,1,0.52,,FANCY INTENSE YELLOW,FANCY INTENSE,,,YELLOW,IF,PEAR,NONE,,N,G,G,5.89,4.19,2.68,63.96%,GIA,5176043472,
